data_coleta,campeonato,time_casa,time_fora,data_jogo,casa_aposta,odd_casa,odd_empate,odd_fora,odd_over_25,odd_under_25
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Unibet (FR),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Winamax (FR),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,BetMGM,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,GTbets,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Parions Sport (FR),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Betclic (FR),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Winamax (DE),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,FanDuel,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Betsson,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Nordic Bet,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,1xBet,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Marathon Bet,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,BetRivers,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Unibet (SE),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,LeoVegas (SE),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Unibet (NL),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Unibet (IT),,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Pinnacle,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Matchbook,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Betfair,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,DraftKings,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,William Hill,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Coolbet,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Bovada,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Everygame,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,Tipico,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,LowVig.ag,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,BetOnline.ag,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,BetAnything,,,,,
2025-10-08T13:51:40.822108,Brazil Série A,Atletico Mineiro,Sport Recife,2025-10-08T22:00:00Z,BetUS,,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Unibet (FR),,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Betsson,,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Winamax (DE),,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,BetMGM,,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Winamax (FR),,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Nordic Bet,,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Betclic (FR),,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,Parions Sport (FR),,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,1xBet,,,,,
2025-10-08T13:51:40.822519,Brazil Série A,Mirassol,Fluminense,2025-10-09T00:00:00Z,FanDuel,,,,,
